Bestandstype,Totaal aantal verzoeken
JavaScript,0.5565
HTML-bestanden,0.2360
Afbeelding,0.0692
CSS,0.0468
Ander bestandstype,0.0458
Onbekend (mislukte verzoeken),0.0458
